# {"config": {"dt": 0.002, "kind": "wheel", "torque_limit_nm": 2.0}, "initial_command_history": "zero", "name": "calibration_0", "sampling": "state_then_command_then_next_state", "schema_version": 1, "split": "calibration"}
time_s,command_torque_nm,position_rad,velocity_rad_s,next_position_rad,next_velocity_rad_s
0.0,0.0,-7.837396838544357e-05,0.0,-3.3038033136878554e-05,-0.00033593878030092173
0.002,0.0020136267223173797,-3.3038033136878554e-05,-0.00033593878030092173,1.2523175502351753e-05,-0.0004514221626541962
0.004,0.004033233967048353,1.2523175502351753e-05,-0.0004514221626541962,5.9384554518310765e-05,-9.778572027153621e-05
0.006,0.006058769554950871,5.9384554518310765e-05,-9.778572027153621e-05,0.00011403558924217589,-0.00110323817234575
0.008,0.008090180381304015,0.00011403558924217589,-0.00110323817234575,-7.04867379711318e-05,-0.0011003622958282507
0.01,0.010127412410430385,-7.04867379711318e-05,-0.0011003622958282507,-0.0003299783147797643,-0.0032806545386768037
0.012,0.012170410670259268,-0.0003299783147797643,-0.0032806545386768037,1.9861367860218047e-05,0.0002507253665257139
0.014,0.014219119246931792,1.9861367860218047e-05,0.0002507253665257139,-0.00013763194856652972,0.0016175825444710414
0.016,0.01627348127944934,-0.00013763194856652972,0.0016175825444710414,0.00010448563671111042,0.004908345744277743
0.018000000000000002,0.018333438954366465,0.00010448563671111042,0.004908345744277743,0.000167906180667317,0.006730524073831462
0.02,0.02039893350052946,0.000167906180667317,0.006730524073831462,0.0006393930104879703,0.006682442670005416
0.022,0.022469905183862073,0.0006393930104879703,0.006682442670005416,8.856142611357247e-05,0.003035198660658563
0.024,0.024546293302199387,8.856142611357247e-05,0.003035198660658563,-0.0002615390074334387,0.013178467515145627
0.026000000000000002,0.02662803618017134,-0.0002615390074334387,0.013178467515145627,0.0006449601094231586,0.011157551460868897
0.028,0.02871507116413713,0.0006449601094231586,0.011157551460868897,0.00010336747627824484,0.012924685284505017
0.03,0.030807334617171823,0.00010336747627824484,0.012924685284505017,-0.00026078304755987666,0.012363310290368048
0.032,0.032904761914106455,-0.00026078304755987666,0.012363310290368048,9.539489317251914e-05,0.018573864711197083
0.034,0.03500728743662303,9.539489317251914e-05,0.018573864711197083,1.1915300282555423e-05,0.01756840777802771
0.036000000000000004,0.03711484456840573,1.1915300282555423e-05,0.01756840777802771,0.0003922651999415137,0.0208013124978957
0.038,0.03922736569034968,0.0003922651999415137,0.0208013124978957,0.00020263128198808885,0.019122099442819257
0.04,0.04134478217582875,0.00020263128198808885,0.019122099442819257,-0.00010209724900356592,0.024703351743341713
0.042,0.043467024386023484,-0.00010209724900356592,0.024703351743341713,0.0006184461688582741,0.02339643851540063
0.044,0.045594021665310985,0.0006184461688582741,0.02339643851540063,0.0004810347627848115,0.023608915685440567
0.046,0.04772570233671786,0.0004810347627848115,0.023608915685440567,0.0004499215063214566,0.029938511929125576
0.048,0.049861993697437566,0.0004499215063214566,0.029938511929125576,0.0004563444806886486,0.030751002842564157
0.05,0.05200282201441402,0.0004563444806886486,0.030751002842564157,0.0008386746318260461,0.03402828442092626
0.052000000000000005,0.0541481125199923,0.0008386746318260461,0.03402828442092626,0.0005663003966266882,0.03832305963188082
0.054,0.05629778940763849,0.0005663003966266882,0.03832305963188082,0.0011186400239644153,0.039433158539853456
0.056,0.05845177582772975,0.0011186400239644153,0.039433158539853456,0.000963509906255353,0.04126005994641666
0.058,0.060609993883416036,0.000963509906255353,0.04126005994641666,0.0011043542924680002,0.03977878718610066
0.06,0.0627723646265554,0.0011043542924680002,0.03977878718610066,0.0012336060414100338,0.043175973922374836
0.062,0.06493880805372379,0.0012336060414100338,0.043175973922374836,0.0011526945318824108,0.047293335109552366
0.064,0.06710924310230125,0.0011526945318824108,0.047293335109552366,0.0013080466437816528,0.05372824738323957
0.066,0.06928358764663599,0.0013080466437816528,0.05372824738323957,0.0014257194910552876,0.05278426775125902
0.068,0.07146175849428753,0.0014257194910552876,0.05278426775125902,0.001564910800743764,0.056158745183200104
0.07,0.07364367138235094,0.001564910800743764,0.056158745183200104,0.0012181125710049286,0.055310362350912134
0.07200000000000001,0.07582924097386327,0.0012181125710049286,0.055310362350912134,0.0015662796918023765,0.06602530128249719
0.074,0.07801838085429413,0.0015662796918023765,0.06602530128249719,0.001747281148329792,0.0665753040444952
0.076,0.0802110035281216,0.001747281148329792,0.0665753040444952,0.002196153471410739,0.06593993850885888
0.078,0.08240702041549527,0.002196153471410739,0.06593993850885888,0.002354360356581026,0.07375889432768039
0.08,0.084606341848988,0.002354360356581026,0.07375889432768039,0.0023430008929529052,0.07755578204007958
0.082,0.08680887707043788,0.0023430008929529052,0.07755578204007958,0.0019805325315381036,0.07966961119616567
0.084,0.08901453422788198,0.0019805325315381036,0.07966961119616567,0.0022485096560714065,0.08385384404293526
0.08600000000000001,0.09122322037258385,0.0022485096560714065,0.08385384404293526,0.0026974128310982056,0.08628348195373758
0.088,0.09343484145615567,0.0026974128310982056,0.08628348195373758,0.0030316456345479952,0.08772760265184704
0.09,0.09564930232777757,0.0030316456345479952,0.08772760265184704,0.0031226192554288062,0.09992490759808356
0.092,0.09786650673151494,0.0031226192554288062,0.09992490759808356,0.0035148318767471553,0.09806592858543085
0.094,0.10008635730373594,0.0035148318767471553,0.09806592858543085,0.003601411540816852,0.1042151867378615
0.096,0.1023087555706306,0.003601411540816852,0.1042151867378615,0.0038357415394958535,0.10692221590330793
0.098,0.10453360194583335,0.0038357415394958535,0.10692221590330793,0.004059657968277365,0.11419450272778324
0.1,0.10676079572815025,0.004059657968277365,0.11419450272778324,0.003969823564122697,0.12063718554918268
0.10200000000000001,0.10899023509939328,0.003969823564122697,0.12063718554918268,0.004727031854223883,0.1267548035844774
0.10400000000000001,0.11122181712232278,0.004727031854223883,0.1267548035844774,0.004184324161603662,0.1305128949053262
0.106,0.11345543773869976,0.004184324161603662,0.1305128949053262,0.005056195709663413,0.1349601130095491
0.108,0.11569099176745042,0.005056195709663413,0.1349601130095491,0.005230201954736558,0.14189726195726768
0.11,0.11792837290294361,0.005230201954736558,0.14189726195726768,0.005693864458330178,0.14544870908879698
0.112,0.12016747371338399,0.005693864458330178,0.14544870908879698,0.005908625979301351,0.15244892197179527
0.114,0.12240818563932164,0.005908625979301351,0.15244892197179527,0.006032908615190479,0.1598508997162676
0.116,0.12465039899228059,0.006032908615190479,0.1598508997162676,0.006398886925725397,0.16192041716551928
0.11800000000000001,0.1268940029535076,0.006398886925725397,0.16192041716551928,0.006750219813542104,0.1684039549231842
0.12,0.1291388855728432,0.006750219813542104,0.1684039549231842,0.007398451619093118,0.17805693194583813
0.122,0.1313849337677163,0.007398451619093118,0.17805693194583813,0.007785937336226736,0.1813833377729058
0.124,0.1336320333222646,0.007785937336226736,0.1813833377729058,0.008294151049075408,0.19339966675298176
0.126,0.13588006888658272,0.008294151049075408,0.19339966675298176,0.008140717473561784,0.20369155557975643
0.128,0.13812892397609874,0.008140717473561784,0.20369155557975643,0.00863983857810654,0.20457502513961853
0.13,0.14037848097108216,0.00863983857810654,0.20457502513961853,0.009179943557872838,0.2151404822209114
0.132,0.14262862111628472,0.009179943557872838,0.2151404822209114,0.009830443770129994,0.2266258506525633
0.134,0.14487922452071508,0.009830443770129994,0.2266258506525633,0.009943065127464594,0.22606528219945612
0.136,0.14713017015755028,0.009943065127464594,0.22606528219945612,0.01065297782563672,0.2350333548628561
0.138,0.1493813358641852,0.01065297782563672,0.2350333548628561,0.010812679777384102,0.2455367558743569
0.14,0.1516325983424216,0.010812679777384102,0.2455367558743569,0.011855894356262619,0.25213638412809714
0.14200000000000002,0.15388383315879905,0.011855894356262619,0.25213638412809714,0.011964316005787914,0.26173432105536826
0.14400000000000002,0.1561349147450692,0.011964316005787914,0.26173432105536826,0.012584559027147951,0.2729207788011978
0.146,0.15838571639881532,0.012584559027147951,0.2729207788011978,0.013216750514595824,0.2767917903714204
0.148,0.16063611028421917,0.013216750514595824,0.2767917903714204,0.01427020988495184,0.28682752345078977
0.15,0.16288596743297612,0.01427020988495184,0.28682752345078977,0.014050660542356866,0.2982000616189261
0.152,0.16513515774536158,0.014050660542356866,0.2982000616189261,0.015005341232736965,0.30732213851943463
0.154,0.16738354999144966,0.015005341232736965,0.30732213851943463,0.015609664718917818,0.3153006180895284
0.156,0.16963101181248608,0.015609664718917818,0.3153006180895284,0.016310169943607046,0.3263847782828509
0.158,0.17187740972241752,0.016310169943607046,0.3263847782828509,0.016499818284684355,0.3342942633114335
0.16,0.1741226091095785,0.016499818284684355,0.3342942633114335,0.017633031541126037,0.3480375599030459
0.162,0.17636647423853846,0.017633031541126037,0.3480375599030459,0.01819009431068789,0.35583755921402077
0.164,0.17860886825211025,0.01819009431068789,0.35583755921402077,0.01925466836926294,0.3618098787855927
0.166,0.18084965317352186,0.01925466836926294,0.3618098787855927,0.019932695176314425,0.37494648006609865
0.168,0.1830886899087539,0.019932695176314425,0.37494648006609865,0.020837676373050874,0.38510299222360167
0.17,0.18532583824904356,0.020837676373050874,0.38510299222360167,0.021354408928479694,0.3945955611978595
0.17200000000000001,0.18756095687355798,0.021354408928479694,0.3945955611978595,0.02204950611656552,0.402013086137283
0.17400000000000002,0.18979390335223792,0.02204950611656552,0.402013086137283,0.022912526549566128,0.41286988681239767
0.176,0.1920245341488143,0.022912526549566128,0.41286988681239767,0.023686073458217553,0.4281945086699704
0.178,0.1942527046239988,0.023686073458217553,0.4281945086699704,0.024366428680195597,0.4363281566850046
0.18,0.19647826903885077,0.024366428680195597,0.4363281566850046,0.025699102372004397,0.44406117907583686
0.182,0.19870108055832236,0.025699102372004397,0.44406117907583686,0.026807439777903952,0.45533426331582977
0.184,0.20092099125498272,0.026807439777903952,0.45533426331582977,0.02751048446330975,0.46494262955609006
0.186,0.2031378521129247,0.02751048446330975,0.46494262955609006,0.02814756744666821,0.4778452340717496
0.188,0.2053515130318541,0.02814756744666821,0.4778452340717496,0.029466535362537967,0.4938989046626112
0.19,0.20756182283136507,0.029466535362537967,0.4938989046626112,0.030168169958289765,0.5038361335877672
0.192,0.20976862925540127,0.030168169958289765,0.5038361335877672,0.03132249847748807,0.5151016193298761
0.194,0.21197177897690717,0.03132249847748807,0.5151016193298761,0.032634510205166015,0.5256142501461484
0.196,0.2141711176026688,0.032634510205166015,0.5256142501461484,0.03362905732577712,0.5331323671238617
0.198,0.21636648967834748,0.03362905732577712,0.5331323671238617,0.03480312677865675,0.5511738819115168
0.2,0.21855773869370765,0.03480312677865675,0.5511738819115168,0.03575979186692175,0.5622410956978475
0.202,0.2207447070880401,0.03575979186692175,0.5622410956978475,0.03708442810798522,0.575051793557208
0.20400000000000001,0.22292723625578348,0.03708442810798522,0.575051793557208,0.0379390767952174,0.5835930743063876
0.20600000000000002,0.22510516655234483,0.0379390767952174,0.5835930743063876,0.03944985104993087,0.5983587973969395
0.20800000000000002,0.2272783373001216,0.03944985104993087,0.5983587973969395,0.04079404417108917,0.608619916609733
0.21,0.22944658679472593,0.04079404417108917,0.608619916609733,0.04175495175593106,0.6200495542528159
0.212,0.23160975231141445,0.04175495175593106,0.6200495542528159,0.042975412276805944,0.6367575938019367
0.214,0.23376767011172372,0.042975412276805944,0.6367575938019367,0.04431397963327329,0.6475860196633428
0.216,0.23592017545031396,0.04431397963327329,0.6475860196633428,0.04561998231303667,0.6585261032190951
0.218,0.23806710258202257,0.04561998231303667,0.6585261032190951,0.04697131250494816,0.6717920138739443
0.22,0.24020828476912928,0.04697131250494816,0.6717920138739443,0.04814398928034381,0.6831505309453486
0.222,0.24234355428883403,0.04814398928034381,0.6831505309453486,0.04969811686914432,0.6987398704127928
0.224,0.24447274244095007,0.04969811686914432,0.6987398704127928,0.051141397496929815,0.7073771502423287
0.226,0.24659567955581319,0.051141397496929815,0.7073771502423287,0.05314146274791071,0.7242187936820758
0.228,0.24871219500240938,0.05314146274791071,0.7242187936820758,0.05401494907902735,0.7369610400139943
0.23,0.25082211719672204,0.05401494907902735,0.7369610400139943,0.05557851092756393,0.7500291026899317
0.232,0.2529252736103004,0.05557851092756393,0.7500291026899317,0.05722184920369873,0.7642071254774281
0.234,0.2550214907790518,0.05722184920369873,0.7642071254774281,0.05869213239374749,0.7788647457636617
0.23600000000000002,0.25711059431225697,0.05869213239374749,0.7788647457636617,0.06005220422580311,0.7942493546023949
0.23800000000000002,0.25919240890181294,0.06005220422580311,0.7942493546023949,0.06190254876682751,0.801611674866391
0.24,0.26126675833170315,0.06190254876682751,0.801611674866391,0.06309018328249731,0.8177482179989495
0.242,0.26333346548769637,0.06309018328249731,0.8177482179989495,0.06529778183809563,0.8301431613593825
0.244,0.2653923523672774,0.06529778183809563,0.8301431613593825,0.06678882015146041,0.8437474349507539
0.246,0.26744324008980863,0.06678882015146041,0.8437474349507539,0.06867548504085288,0.8589332537427161
0.248,0.26948594890692745,0.06867548504085288,0.8589332537427161,0.06999978251475228,0.8730685990609419
0.25,0.2715202982131767,0.06999978251475228,0.8730685990609419,0.0720806457421853,0.8870579689543653
0.252,0.27354610655687367,0.0720806457421853,0.8870579689543653,0.0736956043490342,0.9017757832992987
0.254,0.2755631916512162,0.0736956043490342,0.9017757832992987,0.07597774788505737,0.9098043205624825
0.256,0.277571370385629,0.07597774788505737,0.9098043205624825,0.0777461638325314,0.9281173826657281
0.258,0.2795704588373507,0.0777461638325314,0.9281173826657281,0.07942222510778817,0.9418286180548405
0.26,0.2815602722832634,0.07942222510778817,0.9418286180548405,0.08127712085129744,0.9570384230198064
0.262,0.2835406252119658,0.08127712085129744,0.9570384230198064,0.08321677225853688,0.965821229953459
0.264,0.28551133133609213,0.08321677225853688,0.965821229953459,0.0853960516618272,0.9854056111044966
0.266,0.2874722036048761,0.0853960516618272,0.9854056111044966,0.08739125996172716,0.9957648206854952
0.268,0.28942305421696446,0.08739125996172716,0.9957648206854952,0.08938383099288494,1.0124438744082556
0.27,0.29136369463347783,0.08938383099288494,1.0124438744082556,0.09150782150091774,1.0288815266649376
0.272,0.2932939355913228,0.09150782150091774,1.0288815266649376,0.09372618557272389,1.045123370639342
0.274,0.295213587116755,0.09372618557272389,1.045123370639342,0.09576146813914713,1.052944434043487
0.276,0.29712245853919517,0.09576146813914713,1.052944434043487,0.09794705649632314,1.0732796971182246
0.278,0.299020358505299,0.09794705649632314,1.0732796971182246,0.09984922026577751,1.089060006654137
0.28,0.3009070949932813,0.09984922026577751,1.089060006654137,0.10211171966019117,1.1020559089000235
0.28200000000000003,0.30278247532749747,0.10211171966019117,1.1020559089000235,0.10439795402378202,1.1149128429689112
0.28400000000000003,0.3046463061932813,0.10439795402378202,1.1149128429689112,0.10661436344848123,1.1278282451091513
0.28600000000000003,0.30649839365204085,0.10661436344848123,1.1278282451091513,0.10901467120726457,1.1452857525398306
0.28800000000000003,0.30833854315661424,0.10901467120726457,1.1452857525398306,0.11126371624054257,1.158437615775079
0.29,0.3101665595668856,0.11126371624054257,1.158437615775079,0.11337137167820666,1.1756708962601088
0.292,0.311982247165662,0.11337137167820666,1.1756708962601088,0.116190123291187,1.1869353522536648
0.294,0.3137854096748124,0.116190123291187,1.1869353522536648,0.11799172786003727,1.2035126387366315
0.296,0.31557585027167034,0.11799172786003727,1.2035126387366315,0.12097633362411934,1.2199786782503061
0.298,0.3173533716057002,0.12097633362411934,1.2199786782503061,0.12347384339881703,1.2341982041140467
0.3,0.31911777581542844,0.12347384339881703,1.2341982041140467,0.1255337404556996,1.2491374530951058
0.302,0.3208688645456399,0.1255337404556996,1.2491374530951058,0.12832724990647104,1.2624964501249616
0.304,0.322606438964842,0.12832724990647104,1.2624964501249616,0.13084404973847574,1.2797546435473195
0.306,0.3243302997829938,0.13084404973847574,1.2797546435473195,0.13335812503831973,1.295765974728494
0.308,0.32604024726950565,0.13335812503831973,1.295765974728494,0.13572733930602238,1.3079841390298383
0.31,0.3277360812715049,0.13572733930602238,1.3079841390298383,0.13875993918437388,1.3251181771313618
0.312,0.32941760123237235,0.13875993918437388,1.3251181771313618,0.1414437869604259,1.3414033004374424
0.314,0.33108460621054775,0.1414437869604259,1.3414033004374424,0.1444418047025424,1.3565574929634758
0.316,0.33273689489860614,0.1444418047025424,1.3565574929634758,0.14706527281750661,1.3699538440848928
0.318,0.3343742656426043,0.14706527281750661,1.3699538440848928,0.14973725436568588,1.3857943615922508
0.32,0.3359965164616994,0.14973725436568588,1.3857943615922508,0.15224817751366762,1.3998657659091507
0.322,0.3376034450680388,0.15224817751366762,1.3998657659091507,0.1551229647641324,1.4140621109568408
0.324,0.3391948488869221,0.1551229647641324,1.4140621109568408,0.15794057711804152,1.43435180040289
0.326,0.3407705250772357,0.15794057711804152,1.43435180040289,0.16075169420894692,1.4452279501014682
0.328,0.34233027055216075,0.16075169420894692,1.4452279501014682,0.16338741085062572,1.4591866058804939
0.33,0.34387388200015323,0.16338741085062572,1.4591866058804939,0.16685081381024572,1.4777850964434722
0.332,0.345401155906198,0.16685081381024572,1.4777850964434722,0.1695266657221927,1.491002890981586
0.334,0.34691188857333666,0.1695266657221927,1.491002890981586,0.17268532310609414,1.5061805615595392
0.336,0.3484058761444678,0.17268532310609414,1.5061805615595392,0.17568310505925053,1.5210590368742902
0.338,0.34988291462442245,0.17568310505925053,1.5210590368742902,0.1789797473706711,1.5361246657631114
0.34,0.35134279990231265,0.1789797473706711,1.5361246657631114,0.18235504055968324,1.5524955746939453
0.342,0.3527853277741534,0.18235504055968324,1.5524955746939453,0.18528021245715093,1.5625184320877201
0.34400000000000003,0.3542102939657593,0.18528021245715093,1.5625184320877201,0.18855290559084123,1.5826312277446828
0.34600000000000003,0.3556174941559139,0.18855290559084123,1.5826312277446828,0.19181076748304837,1.5954781887437988
0.34800000000000003,0.3570067239998132,0.19181076748304837,1.5954781887437988,0.1948277769497065,1.616389367462113
0.35000000000000003,0.35837777915278196,0.1948277769497065,1.616389367462113,0.19803893070266354,1.6270079263399957
0.352,0.3597304552942633,0.19803893070266354,1.6270079263399957,0.20138181248198903,1.6440470405319334
0.354,0.36106454815208117,0.20138181248198903,1.6440470405319334,0.20448760546066388,1.6570831925559353
0.356,0.3623798535269749,0.20448760546066388,1.6570831925559353,0.20766056524087698,1.6679298484247365
0.358,0.3636761673174055,0.20766056524087698,1.6679298484247365,0.211130419039369,1.684607381299868
0.36,0.36495328554463435,0.211130419039369,1.684607381299868,0.21435454539493867,1.6985546847284205
0.362,0.3662110043780722,0.21435454539493867,1.6985546847284205,0.21793579480426772,1.7166710147509265
0.364,0.3674491201608983,0.21793579480426772,1.7166710147509265,0.2216603610134486,1.7328128171695942
0.366,0.36866742943595043,0.2216603610134486,1.7328128171695942,0.22509089391467796,1.7442878024632344
0.368,0.3698657289718829,0.22509089391467796,1.7442878024632344,0.2283903273966677,1.7618197260484325
0.37,0.3710438157895936,0.2283903273966677,1.7618197260484325,0.23214724561475494,1.776603093150355
0.372,0.3722014871889185,0.23214724561475494,1.776603093150355,0.2355879985554431,1.787731410389783
0.374,0.37333854077559253,0.2355879985554431,1.787731410389783,0.23928052132828306,1.8102651564303271
0.376,0.37445477448847697,0.23928052132828306,1.8102651564303271,0.24303035915124538,1.8192522639064204
0.378,0.37554998662705086,0.24303035915124538,1.8192522639064204,0.24669114428489702,1.8319794465685226
0.38,0.37662397587916685,0.24669114428489702,1.8319794465685226,0.25073031114256467,1.8459647780158837
0.382,0.3776765413490692,0.25073031114256467,1.8459647780158837,0.2540034955364601,1.8625669376175096
0.384,0.3787074825856739,0.2540034955364601,1.8625669376175096,0.25756187122297297,1.8762315400523533
0.386,0.37971659961110843,0.25756187122297297,1.8762315400523533,0.2614394870177595,1.8923705612975745
0.388,0.3807036929495112,0.2614394870177595,1.8923705612975745,0.2653329667155823,1.9076868534029572
0.39,0.3816685636560882,0.2653329667155823,1.9076868534029572,0.2694686463090937,1.9163171457035229
