condition,training_seed,case_id,terrain_kind,quality_failure_reasons,source_csv,tail_bias_mps,tail_variance_m2ps2,tail_std_mps,tail_rmse_mps,tail_bias_share_of_mse,tail_failure_type
zero_residual,,tracking_v2_holdout_00_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_00_flat.csv,-0.03284472845600626,0.0001543271678694403,0.012422848621368623,0.03511557140668834,0.8748465266789186,bias_dominated_slow
zero_residual,,tracking_v2_holdout_01_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_01_flat.csv,-0.0532452401849722,0.000220904529026742,0.014862857364139037,0.05528073924417184,0.9277135435249173,bias_dominated_slow
zero_residual,,tracking_v2_holdout_02_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_02_flat.csv,-0.07633450734537656,0.0003033117470734289,0.017415847584123744,0.07829603284161193,0.9505222757744103,bias_dominated_slow
zero_residual,,tracking_v2_holdout_03_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_03_flat.csv,-0.047125158823068725,0.00019943383954038873,0.014122104642736107,0.04919567494851395,0.9175966241799264,bias_dominated_slow
zero_residual,,tracking_v2_holdout_04_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_04_bumps.csv,-0.09725686203737832,0.0005546553113524711,0.023551121233446,0.10006773968022917,0.9446095369267035,bias_dominated_slow
zero_residual,,tracking_v2_holdout_05_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_05_bumps.csv,0.036953687533451816,0.007686071255350916,0.08767024156092486,0.0951401402020772,0.1508648239700514,fluctuation_dominated
zero_residual,,tracking_v2_holdout_06_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_06_bumps.csv,-0.07338863840783709,0.0021574904763802145,0.04644879413268136,0.08685264949174823,0.7139889946732624,mixed
zero_residual,,tracking_v2_holdout_07_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_07_bumps.csv,-0.0461166532217824,0.0019532970380850426,0.04419612017004482,0.06387521226941774,0.5212557413293638,mixed
zero_residual,,tracking_v2_holdout_08_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_08_bumps.csv,-0.10369021421903969,0.0008096962968968891,0.028455162921636717,0.10752375003545601,0.9299652878649998,bias_dominated_slow
zero_residual,,tracking_v2_holdout_09_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_09_bumps.csv,-0.08825874996907662,0.00014724681927198626,0.01213453003918925,0.08908902157603917,0.9814477091773639,bias_dominated_slow
zero_residual,,tracking_v2_holdout_10_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_10_bumps.csv,-0.004375656294042087,0.010985296860231055,0.10481076690985071,0.10490206493789647,0.0017398761215347397,fluctuation_dominated
zero_residual,,tracking_v2_holdout_11_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_11_bumps.csv,0.031195409157619317,0.023285173288770757,0.15259480098866657,0.15575084860533517,0.040116268482919354,fluctuation_dominated
zero_residual,,tracking_v2_holdout_12_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_12_bumps.csv,-0.01669599338818295,0.011931756420184052,0.10923257948150841,0.1105011882985984,0.02282919677480425,fluctuation_dominated
zero_residual,,tracking_v2_holdout_13_bumps,bumps,progress|tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_13_bumps.csv,-0.06830095065213827,0.0035385518975003384,0.05948572851953936,0.09057357096574124,0.5686571651828078,mixed
zero_residual,,tracking_v2_holdout_14_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_14_bumps.csv,-0.09010310437133054,0.00323006665059153,0.0568336753218682,0.10652997732066978,0.7153784268652501,mixed
zero_residual,,tracking_v2_holdout_15_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_15_bumps.csv,-0.10570941891468105,0.00010545984870960533,0.01026936457185182,0.1062070670717779,0.9906506738100697,bias_dominated_slow
zero_residual,,tracking_v2_holdout_16_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_16_ramp.csv,0.018911126472278935,0.00032171006962398925,0.017936278031520064,0.026064166475729053,0.5264378616722037,mixed
zero_residual,,tracking_v2_holdout_17_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_17_ramp.csv,0.0190341711826035,0.0003331584930580816,0.018252629757327617,0.026371540828452465,0.520951065778798,mixed
zero_residual,,tracking_v2_holdout_18_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_18_ramp.csv,0.02127059647472481,0.0002905151780366022,0.01704450580206426,0.0272571724950916,0.608972571447768,mixed
zero_residual,,tracking_v2_holdout_19_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_19_ramp.csv,0.01740885167626672,0.0002539614548087576,0.015936168134427973,0.02360147392632528,0.5440790439057837,mixed
zero_residual,,tracking_v2_holdout_20_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_20_ramp.csv,-0.02916411289379168,0.0002106371575435608,0.014513344119931864,0.03257579835438245,0.8015071582247991,bias_dominated_slow
zero_residual,,tracking_v2_holdout_21_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_21_ramp.csv,-0.04016977895616827,0.00022870509251773192,0.015122998793815066,0.042922211428410253,0.8758600242950979,bias_dominated_slow
zero_residual,,tracking_v2_holdout_22_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_22_ramp.csv,-0.02437603079097985,0.00022194582326668484,0.014897846262687933,0.028568106349379944,0.7280531274224449,mixed
zero_residual,,tracking_v2_holdout_23_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/zero_residual/tracking_v2_holdout_23_ramp.csv,-0.03504914641666889,0.00024295207571668713,0.015586920020218463,0.038358763539167694,0.834883142456535,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_00_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_00_flat.csv,-0.032771041663118776,7.306355026689203e-05,0.00854772193434555,0.033867458156064185,0.9363005671480563,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_01_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_01_flat.csv,-0.060646298888600444,0.00020081266088611897,0.0141708383974315,0.06227990229417174,0.9482279638550886,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_02_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_02_flat.csv,-0.0729908364900873,0.00023007971426695955,0.015168378761982427,0.07455026442467941,0.958601943498074,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_03_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_03_flat.csv,-0.04868525628113904,0.00017623119745974403,0.013275209883830238,0.0504627127354439,0.9307943414567479,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_04_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_04_bumps.csv,-0.10701866171574707,0.0005534792540736485,0.023526139803921264,0.10957405354144362,0.953901595879499,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_05_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_05_bumps.csv,0.04695252627181922,0.00750924651421627,0.08665590870919461,0.09855854218444053,0.2269495816976329,mixed
flat_rl,0,tracking_v2_holdout_06_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_06_bumps.csv,-0.0905244199411958,0.0014133102258199635,0.037594018484593573,0.09802030826063511,0.8529024723712052,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_07_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_07_bumps.csv,-0.04070813681080969,0.002066633305547734,0.04546023873175034,0.0610228294014243,0.44501819720139296,mixed
flat_rl,0,tracking_v2_holdout_08_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_08_bumps.csv,-0.10858632892704316,0.0007520415514596358,0.02742337600405238,0.11199568019040576,0.9400430829964107,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_09_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_09_bumps.csv,-0.0878896113454093,0.00015866000121055827,0.012596031169005508,0.0887876330558353,0.9798737669968463,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_10_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_10_bumps.csv,0.17211709984457696,0.025303724144661914,0.1590714435235373,0.2343672763070177,0.5393293978031031,mixed
flat_rl,0,tracking_v2_holdout_11_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_11_bumps.csv,0.05043243908243121,0.022616797939449627,0.15038882252165428,0.1586197618559956,0.10108933932357672,fluctuation_dominated
flat_rl,0,tracking_v2_holdout_12_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_12_bumps.csv,-0.048771808472174535,0.008659447593757837,0.09305615290649961,0.10506253802095356,0.2154973546882567,mixed
flat_rl,0,tracking_v2_holdout_13_bumps,bumps,progress|tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_13_bumps.csv,-0.07059580630870413,0.0025069938112891343,0.050069889267793814,0.08654918647604497,0.6653219100409048,mixed
flat_rl,0,tracking_v2_holdout_14_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_14_bumps.csv,-0.0905907111049296,0.003633077908882358,0.06027501894551637,0.10881063756535558,0.6931458500860287,mixed
flat_rl,0,tracking_v2_holdout_15_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_15_bumps.csv,-0.10374066080385717,0.000134865833363506,0.011613174990652038,0.10438865138215193,0.9876235706637704,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_16_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_16_ramp.csv,0.011735298058413503,0.0002860040374225416,0.016911653893766324,0.020584490713698635,0.3250184359136934,mixed
flat_rl,0,tracking_v2_holdout_17_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_17_ramp.csv,0.003017603771389718,0.00035805351952186796,0.018922302172882346,0.019161405273177994,0.02480102982624472,fluctuation_dominated
flat_rl,0,tracking_v2_holdout_18_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_18_ramp.csv,0.009736026102153638,0.00027461913186443325,0.016571636366527996,0.019220024352904715,0.2565993736266081,mixed
flat_rl,0,tracking_v2_holdout_19_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_19_ramp.csv,0.0037116854995683547,0.00031153089161584644,0.017650237721227622,0.01803628290040807,0.04234949766339531,fluctuation_dominated
flat_rl,0,tracking_v2_holdout_20_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_20_ramp.csv,-0.03563063529334954,0.00023837695088096917,0.015439460835177152,0.03883193431041847,0.8419166204887892,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_21_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_21_ramp.csv,-0.03789961164489077,0.00019120476317360409,0.013827681048303222,0.04034334301972439,0.8825224336209301,bias_dominated_slow
flat_rl,0,tracking_v2_holdout_22_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_22_ramp.csv,-0.025636966428602585,0.00021449428187200287,0.014645623300904706,0.029525384494250007,0.7539493055446002,mixed
flat_rl,0,tracking_v2_holdout_23_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_0/tracking_v2_holdout_23_ramp.csv,-0.029624353041968917,0.0002459437016768628,0.015682592313672597,0.03351933762519892,0.7811004597870324,mixed
mixed_rl,0,tracking_v2_holdout_00_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_00_flat.csv,-0.03564934473876059,0.00012181234200310474,0.011036862869633958,0.03731873687983158,0.9125343714417555,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_01_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_01_flat.csv,-0.058639471288340815,0.00018807206089267858,0.013713936739415076,0.06022175399196561,0.9481417946974845,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_02_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_02_flat.csv,-0.07273295970145208,0.00023728164686553094,0.015403949067220748,0.07434625124240349,0.9570714719043405,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_03_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_03_flat.csv,-0.0521402289798387,0.0001794181065405335,0.013394704421544116,0.05383327581162553,0.93808945126796,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_04_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_04_bumps.csv,-0.09940377113199916,0.0005636880256495659,0.023742115020561373,0.10219979325278715,0.9460316954303871,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_05_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_05_bumps.csv,0.043535191488540674,0.007546372851232854,0.08686986158175258,0.09716833717408546,0.2007388244317664,mixed
mixed_rl,0,tracking_v2_holdout_06_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_06_bumps.csv,-0.08924524164672976,0.001253274325208871,0.035401614726010326,0.0960103509096392,0.8640403528769792,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_07_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_07_bumps.csv,-0.04328826093590685,0.0019671142526140138,0.04435216175807008,0.0619757032027001,0.48786240377240425,mixed
mixed_rl,0,tracking_v2_holdout_08_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_08_bumps.csv,-0.11590183351249282,0.0006127269374261321,0.024753321745295764,0.11851566119709128,0.9563770043197036,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_09_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_09_bumps.csv,-0.08831395154206957,0.00013705457144723237,0.01170703085531222,0.0890865231582322,0.9827309078691103,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_10_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_10_bumps.csv,-0.0681851569055073,0.0013756349223958944,0.037089552739226914,0.07761991074862523,0.7716731872090575,mixed
mixed_rl,0,tracking_v2_holdout_11_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_11_bumps.csv,0.06895044711427352,0.024411489563259104,0.15624176638549342,0.17077954713758123,0.1630055750786683,fluctuation_dominated
mixed_rl,0,tracking_v2_holdout_12_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_12_bumps.csv,-0.039951525495387614,0.009011186151466767,0.0949272676919902,0.10299179841557954,0.15047399463397682,fluctuation_dominated
mixed_rl,0,tracking_v2_holdout_13_bumps,bumps,progress|tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_13_bumps.csv,-0.07642546842933896,0.002021312725740427,0.044959011618811495,0.08866884994395896,0.7429063446905142,mixed
mixed_rl,0,tracking_v2_holdout_14_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_14_bumps.csv,-0.09771450791186491,0.0030756484445918753,0.055458529051822816,0.11235556728996467,0.7563606124320829,mixed
mixed_rl,0,tracking_v2_holdout_15_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_15_bumps.csv,-0.10258180472090297,8.07858432845723e-05,0.008988094530242342,0.10297481489705164,0.9923814342000958,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_16_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_16_ramp.csv,0.008877637307090095,0.0002877064105497869,0.01696191058076262,0.01914468215212843,0.21502971305378343,mixed
mixed_rl,0,tracking_v2_holdout_17_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_17_ramp.csv,0.007039571275429799,0.0003458375367395332,0.018596707685489204,0.019884493970966158,0.1253323937153244,fluctuation_dominated
mixed_rl,0,tracking_v2_holdout_18_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_18_ramp.csv,0.007125838310283818,0.00024000589349714094,0.015492123595464275,0.017052374178437718,0.17462331155281005,fluctuation_dominated
mixed_rl,0,tracking_v2_holdout_19_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_19_ramp.csv,0.0028362475148194133,0.00025375001074331614,0.015929532659287784,0.016180059045276547,0.030727558377967278,fluctuation_dominated
mixed_rl,0,tracking_v2_holdout_20_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_20_ramp.csv,-0.03021565423463367,0.00021053308949147353,0.01450975842291916,0.033518932714488525,0.8126127661927455,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_21_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_21_ramp.csv,-0.038306247764706064,0.0001984747202541801,0.014088105630430945,0.04081474412593111,0.8808563112034916,bias_dominated_slow
mixed_rl,0,tracking_v2_holdout_22_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_22_ramp.csv,-0.026505133202580043,0.00022321802043345678,0.014940482603766746,0.030425977494896818,0.7588761480016508,mixed
mixed_rl,0,tracking_v2_holdout_23_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_0/tracking_v2_holdout_23_ramp.csv,-0.03850265190651861,0.0002485866868927838,0.01576663207196717,0.04160577953514781,0.8563946766223784,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_00_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_00_flat.csv,-0.03705089813303488,0.0001335529849737219,0.011556512664888224,0.038811364797417904,0.9113383581635365,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_01_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_01_flat.csv,-0.05850549270961687,0.00018230907937456315,0.013502187947683262,0.06004333232399411,0.9494316568989936,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_02_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_02_flat.csv,-0.07741178812608664,0.00023576082718420276,0.01535450511036428,0.07891986928563889,0.9621471196424044,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_03_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_03_flat.csv,-0.05373347833585238,0.00019717834631250529,0.014042020734655866,0.05553796035489619,0.9360737295670296,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_04_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_04_bumps.csv,-0.09503409135722674,0.0005987321587238269,0.024469004040292012,0.09813363683680301,0.9378277195907266,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_05_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_05_bumps.csv,0.05222858587708835,0.007783242465352549,0.08822268679513535,0.1025234980288565,0.25951932515822984,mixed
curriculum_rl,0,tracking_v2_holdout_06_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_06_bumps.csv,-0.08531114019296245,0.0017614477508552731,0.04196960508338473,0.09507596116726123,0.8051374792887757,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_07_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_07_bumps.csv,-0.04570526296106094,0.0019213758912292433,0.043833501927512515,0.06332730022327632,0.5208953455961379,mixed
curriculum_rl,0,tracking_v2_holdout_08_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_08_bumps.csv,-0.11109912212850247,0.0008469280745360021,0.029102028701380976,0.11484747716976595,0.935789860975988,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_09_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_09_bumps.csv,-0.08843629960546401,0.00011942858550480346,0.010928338643398797,0.0891089651685631,0.9849593886841987,bias_dominated_slow
curriculum_rl,0,tracking_v2_holdout_10_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_10_bumps.csv,-0.022445570436533325,0.0069862479268157475,0.08358377789269726,0.08654508396805174,0.06726303927955131,fluctuation_dominated
curriculum_rl,0,tracking_v2_holdout_11_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_11_bumps.csv,0.052688691481777516,0.019803001514969026,0.14072313780956217,0.15026343442444992,0.12294990694356076,fluctuation_dominated
curriculum_rl,0,tracking_v2_holdout_12_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_0/tracking_v2_holdout_12_bumps.csv,-0.04253487217014301,0.00871320059673147,0.09334452633513907,0.10257882796787005,0.17193915918151828,fluctuation_dominated
